id_venta,fecha,id_cliente,id_producto,cantidad,metodo_pago,descuento
1,2025-04-07 09:00:00,276,1,3,Tarjeta,10
2,2025-03-12 09:00:00,34,12,3,Tarjeta,5
3,2025-08-24 09:00:00,27,134,3,Tarjeta,0
4,2025-08-20 16:00:00,338,63,1,Bizum,0
5,2025-02-03 21:00:00,206,68,4,Cheque regalo,0
6,2025-04-21 13:00:00,281,24,2,Tarjeta,0
7,2025-06-18 09:00:00,312,82,2,Efectivo,0
8,2025-03-16 08:00:00,32,114,2,Tarjeta,10
9,2025-07-14 02:00:00,344,14,2,Tarjeta,5
10,2025-07-08 22:00:00,91,76,1,Tarjeta,5
11,2025-08-09 16:00:00,263,126,5,Bizum,10
12,2025-02-26 22:00:00,228,38,2,Bizum,0
13,2025-05-01 07:00:00,381,46,1,Efectivo,15
14,2025-07-18 06:00:00,453,65,2,Bizum,5
15,2025-01-21 10:00:00,299,77,1,Bizum,0
16,2025-07-24 12:00:00,93,91,2,Tarjeta,0
17,2025-04-10 11:00:00,174,50,2,Bizum,0
18,2025-10-30 09:00:00,205,21,2,Tarjeta,0
19,2025-03-09 19:00:00,156,117,2,Tarjeta,0
20,2025-04-06 16:00:00,5,134,1,Tarjeta,0
21,2025-08-23 06:00:00,48,3,3,Tarjeta,0
22,2025-10-21 04:00:00,357,116,1,Bizum,0
23,2025-05-29 01:00:00,133,126,3,Efectivo,0
24,2025-11-03 05:00:00,210,16,3,Tarjeta,0
25,2025-03-02 22:00:00,130,104,2,Tarjeta,0
26,2025-10-20 08:00:00,299,70,1,Tarjeta,0
27,2025-07-30 11:00:00,260,18,1,Bizum,0
28,2025-09-20 09:00:00,191,9,4,Tarjeta,0
29,2025-02-02 19:00:00,441,5,3,Efectivo,10
30,2025-08-06 06:00:00,9,109,1,Tarjeta,5
31,2025-08-27 18:00:00,27,117,3,Tarjeta,0
32,2025-11-16 19:00:00,206,37,3,Tarjeta,5
33,2025-02-18 22:00:00,203,23,2,Efectivo,0
34,2025-11-13 17:00:00,72,31,1,Tarjeta,0
35,2025-01-31 11:00:00,481,122,2,Tarjeta,0
36,2025-12-21 20:00:00,210,118,1,Tarjeta,0
37,2025-07-06 15:00:00,93,144,3,Bizum,0
38,2025-10-23 08:00:00,448,14,2,Tarjeta,5
39,2025-12-12 22:00:00,392,144,2,Tarjeta,10
40,2025-03-07 17:00:00,302,83,3,Efectivo,15
41,2025-06-16 08:00:00,389,36,3,Efectivo,0
42,2025-10-21 05:00:00,163,81,1,Efectivo,10
43,2025-01-29 15:00:00,65,90,1,Bizum,5
44,2025-05-13 15:00:00,408,20,1,Tarjeta,10
45,2025-12-07 21:00:00,354,56,1,Tarjeta,10
46,2025-03-15 02:00:00,25,27,2,Tarjeta,0
47,2025-09-08 04:00:00,411,42,2,Tarjeta,0
48,2025-09-14 02:00:00,151,133,2,Efectivo,0
49,2025-05-03 11:00:00,336,61,3,Tarjeta,0
50,2025-05-12 06:00:00,441,79,4,Bizum,5
51,2025-07-19 21:00:00,131,131,4,Bizum,0
52,2025-10-16 12:00:00,194,116,4,Tarjeta,0
53,2025-03-24 22:00:00,169,98,3,Tarjeta,0
54,2025-07-04 19:00:00,66,136,2,Tarjeta,5
55,2025-05-14 07:00:00,410,122,2,Tarjeta,0
56,2025-09-10 06:00:00,373,85,1,Cheque regalo,0
57,2025-03-06 15:00:00,213,148,2,Tarjeta,0
58,2025-12-19 08:00:00,432,66,5,Bizum,0
59,2025-10-24 00:00:00,78,110,2,Tarjeta,5
60,2025-03-13 02:00:00,114,27,2,Tarjeta,5
61,2025-04-09 13:00:00,373,70,1,Tarjeta,0
62,2025-04-25 05:00:00,18,13,2,Bizum,0
63,2025-10-11 09:00:00,255,79,4,Bizum,0
64,2025-03-30 06:00:00,228,67,2,Bizum,20
65,2025-10-04 13:00:00,118,68,2,Tarjeta,10
66,2025-09-03 02:00:00,269,9,1,Tarjeta,15
67,2025-09-12 07:00:00,8,20,1,Cheque regalo,20
68,2025-12-11 18:00:00,65,128,2,Tarjeta,0
69,2025-04-01 13:00:00,178,22,2,Tarjeta,0
70,2025-06-09 14:00:00,474,112,5,Tarjeta,0
71,2025-03-21 14:00:00,388,22,1,Efectivo,0
72,2025-10-19 12:00:00,89,52,2,Cheque regalo,0
73,2025-12-28 19:00:00,118,16,2,Tarjeta,0
74,2025-01-25 09:00:00,55,100,3,Efectivo,0
75,2025-03-31 19:00:00,491,71,1,Tarjeta,0
76,2025-07-15 23:00:00,278,71,2,Tarjeta,0
77,2025-08-08 13:00:00,253,70,3,Tarjeta,5
78,2025-02-07 13:00:00,279,146,2,Tarjeta,0
79,2025-01-02 02:00:00,476,44,2,Tarjeta,0
80,2025-11-30 04:00:00,194,69,2,Tarjeta,10
81,2025-12-04 04:00:00,313,78,2,Bizum,5
82,2025-11-08 17:00:00,223,71,3,Tarjeta,10
83,2025-02-20 03:00:00,165,14,2,Tarjeta,0
84,2025-09-19 05:00:00,301,149,2,Cheque regalo,0
85,2025-06-22 23:00:00,333,51,2,Bizum,0
86,2025-05-29 13:00:00,355,64,2,Tarjeta,0
87,2025-06-03 00:00:00,260,13,2,Bizum,0
88,2025-04-03 15:00:00,155,74,1,Tarjeta,0
89,2025-07-16 00:00:00,69,120,1,Tarjeta,15
90,2025-10-24 23:00:00,240,62,2,Tarjeta,15
